ticker,date,last,rsi,macd,macd_signal,sma200,sma_dev_pct,vol,vol_avg20,rsi_ok,macd_cross_ok,sma_dev_ok,vol_spike_ok,signals_score,stop_price,target_price,trailing_trigger_gain,trailing_pct,max_hold_days,suggested_shares,risk_dollars,alloc_cap_dollars,headline_sentiment,catalysts,pe_ttm,pe_fwd,div_yield_pct,payout_ratio,debt_to_equity,composite_score,owned
WPK.TO,2025-08-10,41.63,37.91,-0.8759,-0.7847,43.46,-4.21,42000,64420,False,False,False,False,0,37.05,45.79,0.05,0.07,60,218,1000.0,15000.0,,,13.52,11.37,48.0,0.06,,1.25,False
CNQ.TO,2025-08-10,41.71,39.67,-0.2135,-0.0685,42.86,-2.69,7916500,8077225,False,False,False,False,0,37.12,45.88,0.05,0.07,60,217,1000.0,15000.0,,,10.59,11.59,5.63,0.57,,1.25,False
FFH.TO,2025-08-10,2365.29,39.81,-3.9335,8.7049,2107.69,12.22,56000,42980,False,False,False,False,0,2105.11,2601.82,0.05,0.07,60,3,1000.0,15000.0,,,8.74,10.89,91.0,0.08,,1.25,False
CP.TO,2025-08-10,103.27,41.39,-1.6303,-1.4894,107.07,-3.55,1043600,1635820,False,False,False,False,0,91.91,113.6,0.05,0.07,60,88,1000.0,15000.0,,,23.0,20.7,88.0,0.18,,1.25,False
TCL-A.TO,2025-08-10,19.6,42.01,-0.2823,-0.2495,17.81,10.07,67500,119090,False,False,False,False,0,17.44,21.56,0.05,0.07,60,462,1000.0,15000.0,,,9.16,8.24,4.59,0.42,,1.25,False
PEY.TO,2025-08-10,18.91,44.5,-0.0041,0.0347,16.89,11.95,728100,649650,False,False,False,False,0,16.83,20.8,0.05,0.07,60,480,1000.0,15000.0,,,12.78,8.71,6.98,0.89,,1.25,False
ACO-X.TO,2025-08-10,50.33,45.64,-0.0457,0.0374,48.49,3.79,227200,234825,False,False,False,False,0,44.79,55.36,0.05,0.07,60,180,1000.0,15000.0,,,12.87,12.19,4.01,0.51,,1.25,False
KEY.TO,2025-08-10,42.75,45.87,0.0294,0.1045,42.32,1.01,1360500,961435,False,False,False,False,0,38.05,47.03,0.05,0.07,60,212,1000.0,15000.0,,,18.51,18.43,5.05,0.9,,1.25,False
MTL.TO,2025-08-10,13.45,46.03,-0.1774,-0.1637,13.73,-2.05,207300,340505,False,False,False,False,0,11.97,14.79,0.05,0.07,60,675,1000.0,15000.0,,,12.12,10.27,6.25,0.75,,1.25,False
TRI.TO,2025-08-10,247.39,27.4,-4.7388,-0.5911,249.15,-0.71,313700,485850,True,False,False,False,1,220.18,272.13,0.05,0.07,60,36,1000.0,15000.0,,,50.49,44.34,1.32,0.64,,1.0,False
NXE.TO,2025-08-10,9.45,50.9,0.1003,0.1362,8.97,5.33,1615900,2036285,False,False,False,False,1,8.41,10.39,0.05,0.07,60,961,1000.0,15000.0,,,,-59.06,,0.0,,1.0,False
AAV.TO,2025-08-10,10.83,39.81,-0.1569,-0.1395,10.09,7.33,602700,498970,False,False,False,False,0,9.64,11.91,0.05,0.07,60,840,1000.0,15000.0,,,33.84,8.46,,0.0,,1.0,False
AC.TO,2025-08-10,19.32,40.99,-0.458,-0.1186,19.29,0.13,2071400,3350255,False,False,False,False,0,17.19,21.25,0.05,0.07,60,469,1000.0,15000.0,,,4.89,6.29,,0.0,,1.0,False
ATD.TO,2025-08-10,69.99,42.43,-0.0684,0.4311,73.19,-4.38,592900,1934030,False,False,False,False,0,62.29,76.99,0.05,0.07,60,129,1000.0,15000.0,,,18.81,14.77,1.11,0.2,,1.0,False
RCH.TO,2025-08-10,34.63,44.1,-0.1465,-0.055,36.14,-4.17,39600,66490,False,False,False,False,0,30.82,38.09,0.05,0.07,60,262,1000.0,15000.0,,,23.09,19.24,1.77,0.4,,1.0,False
ARX.TO,2025-08-10,27.14,44.55,-0.2076,-0.2952,26.47,2.53,990800,1631550,False,False,False,False,0,24.15,29.85,0.05,0.07,60,334,1000.0,15000.0,,,10.73,9.17,2.8,0.29,,1.0,False
IAG.TO,2025-08-10,141.27,48.27,-0.9343,-0.799,132.93,6.28,231200,227515,False,False,False,False,0,125.73,155.4,0.05,0.07,60,64,1000.0,15000.0,,,13.19,11.86,2.8,0.33,,1.0,False
CHP-UN.TO,2025-08-10,14.21,40.46,-0.1036,-0.0871,13.79,3.06,285100,340580,False,False,False,False,0,12.65,15.63,0.05,0.07,60,641,1000.0,15000.0,,,,13.8,5.42,1.01,,0.75,False
VET.TO,2025-08-10,10.34,41.12,0.1013,0.2315,11.48,-9.92,1381800,676610,False,False,False,False,0,9.2,11.37,0.05,0.07,60,877,1000.0,15000.0,,,,7.89,5.03,0.07,,0.75,False
NWH-UN.TO,2025-08-10,4.81,44.85,-0.029,-0.0246,4.7,2.34,328015,528461,False,False,False,False,0,4.28,5.29,0.05,0.07,60,1886,1000.0,15000.0,,,,5.23,7.48,2.99,,0.75,False
ATS.TO,2025-08-10,38.81,35.8,-0.225,0.1541,40.33,-3.77,250500,227925,False,False,False,False,0,34.54,42.69,0.05,0.07,60,234,1000.0,15000.0,,,,16.8,,0.0,,0.5,False
POU.TO,2025-08-10,20.29,36.93,-0.1667,0.0062,17.39,16.68,133600,259735,False,False,False,False,0,18.06,22.32,0.05,0.07,60,448,1000.0,15000.0,,,2.02,6.3,2.96,0.12,,0.5,False
AYA.TO,2025-08-10,12.38,45.54,-0.0884,0.0066,12.39,-0.07,1388600,899240,False,False,False,False,0,11.02,13.62,0.05,0.07,60,735,1000.0,15000.0,,,,17.44,,0.0,,0.5,False
BBU-UN.TO,2025-08-10,34.14,46.18,-0.1771,-0.1182,33.34,2.4,32700,28185,False,False,False,False,0,30.38,37.55,0.05,0.07,60,265,1000.0,15000.0,,,,22.76,1.01,0.03,,0.5,False
ERO.TO,2025-08-10,19.23,46.2,-0.5282,-0.5279,19.86,-3.17,227300,391420,False,False,False,False,0,17.11,21.15,0.05,0.07,60,471,1000.0,15000.0,,,10.12,3.93,,0.0,,0.5,False
BEP-UN.TO,2025-08-10,34.24,37.48,-0.0341,0.3907,33.05,3.6,340938,267520,False,False,False,False,0,30.47,37.66,0.05,0.07,60,265,1000.0,15000.0,,,,142.67,6.04,6.49,,0.25,False
TVK.TO,2025-08-10,158.3,38.84,-1.7617,-0.6405,137.62,15.03,62700,51765,False,False,False,False,0,140.89,174.13,0.05,0.07,60,57,1000.0,15000.0,,,39.87,37.96,44.0,0.16,,0.25,False
TPZ.TO,2025-08-10,25.16,43.26,-0.0298,0.0427,25.16,0.01,203100,203710,False,False,False,False,0,22.39,27.68,0.05,0.07,60,361,1000.0,15000.0,,,61.37,58.51,5.41,3.24,,0.25,False
BB.TO,2025-08-10,4.98,35.64,-0.176,-0.1491,5.31,-6.16,967300,1709220,False,False,False,False,0,4.43,5.48,0.05,0.07,60,1818,1000.0,15000.0,,,166.0,99.6,,0.0,,0.0,False
DSG.TO,2025-08-10,139.26,41.72,0.2157,0.77,153.05,-9.01,113600,137760,False,False,False,False,0,123.94,153.19,0.05,0.07,60,65,1000.0,15000.0,,,61.35,51.2,,0.0,,0.0,False
OLA.TO,2025-08-10,13.9,46.43,-0.2876,-0.2087,11.32,22.84,561200,829660,False,False,False,False,0,12.37,15.29,0.05,0.07,60,653,1000.0,15000.0,,,,30.22,,0.0,,0.0,False
